,y_pred,y_test
0,3.888042759,3.974246349
1,4.934630634,5.001190835
2,4.278672624,4.562053895
3,4.078566022,4.176231722
4,3.817613267,3.156148995
5,4.216091307,3.777119243
6,4.776181515,4.932889945
7,4.82774499,5.120923648
8,4.137316715,4.044103346
9,4.506657822,4.318687394
10,4.372204941,4.165424144
11,4.51751847,4.446643278
12,3.90636672,3.642049867
13,4.381957214,4.463721822
14,5.085618881,5.192956851
15,3.587145231,3.564449376
16,4.33191122,4.516885271
17,4.346311833,4.270396506
18,4.257066781,4.367293635
19,3.574339204,3.758172281
20,4.124724933,4.322011202
21,4.362977841,4.657857508
22,3.605036521,3.690627925
23,3.522201007,3.676300672
24,4.478772225,4.525477417
25,4.95623037,4.709440107
26,3.395375952,3.100542638
27,4.260077617,4.385395952
28,4.222553252,4.358374106
29,5.079577935,5.161064773
30,4.458512425,4.636281181
31,3.789721187,3.598133841
32,5.786912083,5.742009104
33,3.981202312,4.130515759
34,3.514913608,3.301008654
35,5.278992809,5.411779971
36,3.664248642,3.798182189
37,4.778491281,4.431649785
38,4.51078139,4.40903364
39,5.601288827,5.325932534
40,4.950588857,4.294424174
41,5.40011459,5.217649463
42,4.448043996,4.30662937
43,4.56314746,4.431768727
44,5.232396251,5.371242497
45,4.295204897,4.389126372
46,4.728100568,4.907346705
47,4.389844404,4.390366759
48,3.973818898,3.855875845
49,3.48637442,3.434632158
50,5.557551073,5.2907891
51,4.977934111,5.071354029
52,4.700243104,5.004885462
53,3.952346191,3.930255774
54,4.418266415,4.793805105
55,4.335686942,4.517867858
56,4.51396077,4.618382517
57,4.58963666,4.712857991
58,5.003297477,4.915665057
59,4.581823758,4.463145686
60,4.137743684,4.352082758
61,4.837479463,4.703294584
62,4.186070638,4.037950562
63,4.279660931,4.029094677
64,4.519942999,4.406109305
65,4.190277291,4.213312081
66,3.641561956,3.755369195
67,3.961986082,4.085640122
68,4.479555788,4.213312081
69,4.554332424,4.44370952
70,3.573597267,3.80999028
71,4.782115899,4.712588583
72,4.763341449,5.00354354
73,3.415464095,3.134624272
74,3.561722746,3.348850901
75,4.278735246,4.186619838
76,4.522259235,4.045504397
77,4.399451116,4.449802099
78,4.87288146,5.152597712
79,4.383734104,4.202301704
80,3.891269088,3.740047741
81,4.676337209,4.914271226
82,4.47823184,4.687395126
83,5.483048556,5.373842192
84,5.359828009,5.428204627
85,4.47855715,4.414372811
86,3.832299623,3.696351469
87,3.509176764,3.231989464
88,3.615695162,3.670460869
89,4.810842446,4.71124045
90,5.290768319,4.865609522
91,4.346596325,4.469694046
92,4.43506098,4.495801649
93,4.085401335,4.129550818
94,4.337654971,4.613039144
95,4.257548292,4.349761674
96,4.748978772,4.879082894
97,3.976763608,3.998384171
98,4.217801276,4.416186486
99,4.728682333,4.777020443
100,3.180007752,3.131136911
101,4.820139163,4.842374421
102,4.338243178,4.108576144
103,5.497524628,4.836440625
104,4.655444005,4.72986263
105,4.30002784,4.339249605
106,4.017772608,4.266756065
107,4.243943678,4.382151627
108,3.874392285,4.209902903
109,4.32427313,3.929469919
110,3.970846488,4.191320021
111,4.144483722,4.513712575
112,3.778356051,3.91442013
113,4.509131204,4.653674595
114,4.811948827,4.553982149
115,4.279741213,4.02731405
116,4.345265162,4.142658423
117,4.514315025,4.941570991
118,4.232851332,4.354141431
119,3.987871358,4.235265253
120,5.246423019,5.242910359
121,4.841346087,4.636668853
122,2.666811089,2.333114298
123,4.014321181,4.065945088
124,3.68520653,3.379292546
125,4.227651901,4.100160948
126,4.397755267,4.439351701
127,4.927646607,5.218841165
128,4.292150306,4.356452384
129,3.849177277,4.148359151
130,4.943130735,4.966753066
131,4.673226157,5.031287234
132,2.735245253,2.714694744
133,4.612590816,4.39172941
134,4.746475388,4.872828107
135,4.391453725,4.259435182
136,3.611990271,3.803992261
137,4.424794633,4.703928958
138,3.586083328,3.571221411
139,4.152196794,4.508989628
140,4.342740643,4.55240212
141,4.42784596,4.226541732
142,4.5553236,4.570475216
143,4.156984499,4.156379953
144,4.903707003,4.725084283
145,3.649248701,3.680343123
146,4.303251582,4.29701326
147,4.962052372,5.440164091
148,3.958852576,3.676806873
149,5.101466871,5.161523515
150,4.133249413,4.160912273
151,5.392466415,5.613930704
152,4.006075826,4.016563185
153,3.345557771,3.384051223
154,3.977686727,3.971988587
155,4.287727032,4.320815904
156,4.936135313,5.202687136
157,4.652201133,4.938566268
158,4.956362851,5.062468443
159,4.532412515,4.5582882
160,3.693782453,3.785552341
161,4.472109868,4.840953518
162,3.423957499,3.302481409
163,4.814284654,4.826391892
164,5.12675328,5.320078858
165,4.54718714,4.301494224
166,3.86607617,4.307303088
167,5.322944516,5.119190701
168,4.368911461,4.340292766
169,4.821717818,5.099744469
170,4.545115364,4.893726876
171,4.31982768,4.456089963
172,4.943134316,4.902975842
173,4.197580205,4.392348184
174,4.794141037,4.597541159
175,4.699736819,4.422808628
176,3.257554304,3.118834471
177,3.79654694,4.023206534
178,4.481440517,4.395066248
179,3.774649802,4.064400686
180,4.581229862,4.311335894
181,4.255152783,4.231784971
182,4.205642741,4.335982696
183,3.878517659,3.860940215
184,4.211438064,4.24792365
185,4.947358765,4.717426868
186,4.161803026,3.708927149
187,3.980990895,4.171614198
188,4.513692504,4.730392151
189,3.852645996,3.936325298
190,5.103198263,5.476463552
191,4.15229545,4.346140356
192,4.375441355,4.715995741
193,4.532165783,4.517649588
194,4.180030374,3.852485293
195,4.2004618,3.996731733
196,4.265063085,4.172385267
197,4.120231672,4.35504077
198,4.883881041,4.53999146
199,4.370498967,4.023922098
200,3.273187701,3.104586678
201,4.460121151,4.829992328
202,4.328748781,4.476199805
203,4.461473381,4.471410196
204,4.186928936,4.145829505
205,4.389887605,4.220242729
206,4.587080526,5.000988917
207,3.96445008,3.993234261
208,4.492674179,4.392348184
209,4.852364304,4.839767887
210,3.798511444,4.008060194
211,4.895131927,4.71357606
212,5.000906185,4.851014123
213,4.746435127,4.37298589
214,4.403983213,4.07973841
215,5.574400963,5.572306112
216,4.750696776,4.739963282
217,3.629274512,3.566429294
218,4.752574051,5.124618527
219,4.744316299,4.49635928
220,5.253012153,5.364292355
221,4.659829657,4.836678654
222,5.301652262,5.104732617
223,4.577881922,4.608265391
224,3.171210511,3.057297629
225,4.703209128,4.869378902
226,4.352266139,4.539564429
227,4.499759183,4.185403293
228,4.381671708,4.191017449
229,4.540684945,4.302306792
230,4.185746131,4.4959132
231,5.122069233,5.3574821
232,4.057073619,4.243051882
233,3.806392255,3.66586668
234,4.89819088,5.100902476
235,4.504320176,4.725616339
236,3.651861646,3.629394807
237,4.584806243,4.789073824
238,3.512939801,4.149621578
239,3.793377281,3.969725716
240,3.769568638,4.037068494
241,4.35866639,4.583640067
242,4.408346092,4.430578675
243,4.345511703,4.055776969
244,4.716239806,5.073797869
245,4.79777394,4.447228998
246,4.574627799,4.588329169
247,5.100547219,5.144350003
248,4.317480827,4.583333491
249,3.758604852,3.535145354
250,4.551497224,4.420886706
251,3.688577789,3.822973189
252,4.010200903,3.936130081
253,4.652176423,4.780299272
254,3.933774745,4.044278585
255,4.108352203,3.421000009
256,3.955109443,4.231784971
257,4.920821839,4.959412173
258,4.614927055,4.527100531
259,4.708657246,4.294560609
260,4.442311692,4.688959712
261,4.623533212,4.541484634
262,4.557031382,4.62192897
263,4.284978829,4.560800238
264,5.151196548,5.55597828
265,4.703191157,4.631617356
266,5.858011012,5.674182005
267,5.117996098,5.573825638
268,4.511578727,4.932169121
269,3.831751107,3.922369297
270,4.787071941,4.484018984
271,5.097017283,4.633951987
272,4.698734658,4.579339426
273,4.932706173,4.99199599
274,5.137914535,5.56819182
275,4.117147368,3.982295058
276,4.01526851,4.091674334
277,3.928206375,4.186923744
278,4.967148706,4.816645932
279,4.589778084,4.421487704
280,4.462347927,4.432719749
281,4.355062546,4.056988776
282,5.00437331,4.825670246
283,4.162887316,4.327174383
284,4.685383502,4.579339426
285,4.141404392,4.45423101
286,5.188046105,5.412047757
287,3.894536127,4.124226937
288,4.314577586,4.229603628
289,4.758716593,4.857950206
290,4.420263052,4.785823686
291,4.667278044,4.427477898
292,4.832450201,4.405254761
293,4.165412534,4.023385473
294,4.658477,4.414977735
295,4.511859329,4.899852698
296,4.973611328,5.159974417
297,4.353531363,4.539564429
298,5.059071539,4.669364898
299,4.859864109,5.257599533
300,4.216537434,4.122770036
301,4.152578951,4.061649179
302,4.87074021,4.536248741
303,4.737945218,4.459566212
304,3.547707316,3.047850228
305,3.991493661,3.974809994
306,4.763499007,4.539030383
307,4.236509562,4.065945088
308,5.131438264,4.947127353
309,4.167505276,4.479039909
